model,term,coefficient,standard_error,p_value,ci_lower,ci_upper
transactions,C(hour_of_week)[T.92],0.3254595511438978,0.061393661506421685,4.075154146431548e-05,0.19696114082275576,0.45395796146503986
transactions,C(hour_of_week)[T.93],0.2841413537892754,0.07803075382584125,0.0017368105972869292,0.1208211090481765,0.4474615985303743
transactions,C(hour_of_week)[T.94],0.20515357189418815,0.0681836341444548,0.0072190073508229145,0.06244358551286855,0.34786355827550774
transactions,C(hour_of_week)[T.95],0.12485443250939093,0.07203929486168753,0.09926991024680225,-0.025925544498733938,0.27563440951751583
transactions,C(hour_of_week)[T.96],0.16385572808732352,0.06528115953150185,0.02128660919026408,0.027220690888223903,0.30049076528642316
transactions,C(hour_of_week)[T.97],0.11054174658621196,0.05777778991824422,0.07091024292161899,-0.010388557523223055,0.23147205069564697
transactions,C(hour_of_week)[T.98],0.09033569715956119,0.03997460383829764,0.035770903697879324,0.006667889760561527,0.17400350455856084
transactions,C(hour_of_week)[T.99],0.15550478802029233,0.0457117868763817,0.002991899117584625,0.059828918518039384,0.25118065752254526
transactions,C(hour_of_week)[T.100],0.16826580897161653,0.03581097090874183,0.000156372400271892,0.0933125854479037,0.24321903249532933
transactions,C(hour_of_week)[T.101],0.21661420645089108,0.052400118128545115,0.0005643993342898594,0.10693949875400927,0.3262889141477729
transactions,C(hour_of_week)[T.102],0.2783807116430852,0.05057346906973662,2.609362238330256e-05,0.17252922436525187,0.38423219892091853
transactions,C(hour_of_week)[T.103],0.3200826700193805,0.05275800962199526,7.791085401815825e-06,0.20965888681783942,0.4305064532209216
transactions,C(hour_of_week)[T.104],0.3530155490942286,0.05340648727501833,2.519464203859591e-06,0.24123448656616397,0.46479661162229324
transactions,C(hour_of_week)[T.105],0.35505682505924585,0.057460028089958974,6.150644676887487e-06,0.23479160409998462,0.4753220460185071
transactions,C(hour_of_week)[T.106],0.4405004596124197,0.034145849500825984,7.560809724886543e-11,0.36903237524898497,0.5119685439758545
transactions,C(hour_of_week)[T.107],0.45569996620734493,0.03203553414226579,1.394442034281483e-11,0.388648822651764,0.5227511097629258
