event_id,destination_group,period,hours,mean_transactions,mean_volume,mean_active_senders,total_transactions,total_volume
E057,cex_bound,anticipatory,24,2115.5416666666665,482884715.44300985,2055.5,50773,11589233170.632236
E057,cex_bound,baseline,144,1899.2569444444443,216640316.05983287,1823.1875,273493,31196205512.615932
E057,cex_bound,post,143,1910.4615384615386,302704723.4573763,1848.979020979021,273196,43286775454.40481
E057,cex_bound,recovery,18,2278.6666666666665,446586388.2781517,2216.222222222222,41016,8038554989.00673
E057,cex_bound,shock,7,2283.714285714286,492523442.4881236,2153.285714285714,15986,3447664097.4168653
E057,non_cex,anticipatory,24,12812.458333333334,1257999383.2444906,6452.0,307499,30191985197.867775
E057,non_cex,baseline,144,11033.666666666666,836046717.0477341,5621.805555555556,1588848,120390727254.87372
E057,non_cex,post,143,10669.384615384615,912072877.7265463,5177.286713286713,1525722,130426421514.89612
E057,non_cex,recovery,18,11622.888888888889,1389084793.1784787,5681.277777777777,209212,25003526277.212616
E057,non_cex,shock,7,12545.857142857143,1284342460.9041848,5518.857142857143,87821,8990397226.329294
E059,cex_bound,anticipatory,24,2027.0833333333333,271958041.9579917,1943.875,48650,6526993006.991801
E059,cex_bound,baseline,144,2019.1875,215600628.98773727,1973.7847222222222,290763,31046490574.234165
E059,cex_bound,post,143,1887.7762237762238,254878428.14048448,1841.937062937063,269952,36447615224.08928
E059,cex_bound,recovery,18,2117.3333333333335,404416064.0583715,2033.9444444444443,38112,7279489153.050687
E059,cex_bound,shock,7,2581.714285714286,262550247.54719546,2459.714285714286,18072,1837851732.8303683
E059,non_cex,anticipatory,24,11408.291666666666,843607792.2174231,5995.166666666667,273799,20246587013.218155
E059,non_cex,baseline,144,11281.6875,795056765.5778556,5488.520833333333,1624563,114488174243.2112
E059,non_cex,post,143,11923.923076923076,894092075.9207239,6680.937062937063,1705121,127855166856.66351
E059,non_cex,recovery,18,13087.944444444445,1266662083.6214228,7164.055555555556,235583,22799917505.18561
E059,non_cex,shock,7,11866.285714285714,1169237869.3495665,6078.857142857143,83064,8184665085.446965
E060,cex_bound,anticipatory,24,2335.2083333333335,974236260.4103707,2185.5833333333335,56045,23381670249.848896
E060,cex_bound,baseline,144,2207.1875,334958681.0293642,2096.902777777778,317835,48234050068.22845
E060,cex_bound,post,143,2112.4685314685316,355513776.2757313,2010.3286713286714,302083,50838470007.42958
E060,cex_bound,recovery,18,2165.6111111111113,781805972.938355,2026.611111111111,38981,14072507512.89039
E060,cex_bound,shock,7,2238.285714285714,535048726.70360154,2101.714285714286,15668,3745341086.925211
E060,non_cex,anticipatory,24,12807.333333333334,1532204662.0855427,6326.833333333333,307376,36772911890.053024
E060,non_cex,baseline,144,12128.902777777777,1237355943.1857045,5983.576388888889,1746562,178179255818.74146
E060,non_cex,post,143,13071.314685314685,1253517625.241915,6277.1398601398605,1869198,179253020409.59384
E060,non_cex,recovery,18,12220.888888888889,1853591190.392013,5548.555555555556,219976,33364641427.056236
E060,non_cex,shock,7,13545.57142857143,1547064747.3211656,6054.0,94819,10829453231.24816
E061,cex_bound,anticipatory,24,2006.2916666666667,224712195.57642958,1943.375,48151,5393092693.83431
E061,cex_bound,baseline,144,2047.2847222222222,406052138.2075433,1985.6944444444443,294809,58471507901.88624
E061,cex_bound,post,143,1941.5874125874127,318826871.6466245,1884.1468531468531,277647,45592242645.4673
E061,cex_bound,recovery,18,2362.4444444444443,281346943.11507463,2308.1111111111113,42524,5064244976.071343
E061,cex_bound,shock,7,2202.1428571428573,331808389.87454075,2154.5714285714284,15415,2322658729.121785
E061,non_cex,anticipatory,24,21394.166666666668,1664200509.3374598,12229.0,513460,39940812224.09904
E061,non_cex,baseline,144,16491.208333333332,2216384310.5379906,8850.756944444445,2374734,319159340717.47064
E061,non_cex,post,143,16003.958041958042,1578049119.6224551,8724.272727272728,2288566,225661024106.01108
E061,non_cex,recovery,18,17975.166666666668,2009157698.2561827,10646.055555555555,323553,36164838568.61129
E061,non_cex,shock,7,16543.571428571428,1870311282.4901803,7506.714285714285,115805,13092178977.431261
E065,cex_bound,anticipatory,24,2186.25,478832658.01382947,2127.6666666666665,52470,11491983792.331907
E065,cex_bound,baseline,144,2196.8819444444443,301614655.83780205,2150.3611111111113,316351,43432510440.64349
E065,cex_bound,post,143,2066.671328671329,269652814.4512501,2021.6713286713286,295534,38560352466.52876
E065,cex_bound,recovery,18,2554.4444444444443,293136582.18408954,2484.3888888888887,45980,5276458479.313612
E065,cex_bound,shock,7,4100.285714285715,392305783.80557436,3981.4285714285716,28702,2746140486.6390204
E065,non_cex,anticipatory,24,19004.166666666668,3365254491.645428,9360.166666666666,456100,80766107799.49028
E065,non_cex,baseline,144,18201.534722222223,4271915495.24695,9687.673611111111,2621021,615155831315.5608
E065,non_cex,post,143,18590.88111888112,2503380173.3189974,10469.748251748251,2658496,357983364784.61664
E065,non_cex,recovery,18,21096.833333333332,3077652441.2989902,11168.888888888889,379743,55397743943.38183
E065,non_cex,shock,7,31097.714285714286,3734584844.4234357,15152.142857142857,217684,26142093910.96405
