model,term,coefficient,standard_error,p_value,ci_lower,ci_upper
transactions,C(hour_of_week)[T.102],0.5327240062155804,0.26833458208545286,0.04711136908406116,0.006797889521485967,1.0586501229096748
transactions,C(hour_of_week)[T.103],0.44163033061431023,0.2673685778056347,0.09858225898011877,-0.08240245248242906,0.9656631137110495
transactions,C(hour_of_week)[T.104],0.4699311596741346,0.2656078799235443,0.07684938882284167,-0.0506507189860515,0.9905130383343208
transactions,C(hour_of_week)[T.105],0.5018058199245283,0.24483774596791047,0.04040891534683408,0.021932655771456977,0.9816789840775997
transactions,C(hour_of_week)[T.106],0.6398117748904235,0.24819819848954702,0.009942404182986876,0.1533522448231877,1.1262713049576594
transactions,C(hour_of_week)[T.107],0.5375257719660748,0.2237009852210155,0.016266693597010752,0.09907989762675745,0.975971646305392
transactions,C(hour_of_week)[T.108],0.7505570721001346,0.2093458866610151,0.0003367571119249168,0.34024667393294084,1.1608674702673283
transactions,C(hour_of_week)[T.109],1.0489705845922381,0.24553640801199328,1.9358942387083625e-05,0.5677280679953993,1.530213101189077
transactions,C(hour_of_week)[T.110],1.213878583665679,0.2745976504069891,9.844014612508819e-06,0.6756770786286598,1.752080088702698
transactions,C(hour_of_week)[T.111],1.0882694065377776,0.31913861206655925,0.0006495784962395578,0.4627692208112215,1.7137695922643337
transactions,C(hour_of_week)[T.112],0.9655076193117282,0.3141377370385932,0.002115517600973516,0.3498089685311714,1.581206270092285
transactions,C(hour_of_week)[T.113],0.9487788938245612,0.2788777630654942,0.0006686239465839949,0.402188522127098,1.4953692655220243
transactions,C(hour_of_week)[T.114],0.7086097885013137,0.2939648568136198,0.015929556968878565,0.13244925642614502,1.2847703205764824
transactions,C(hour_of_week)[T.115],0.6032739021801286,0.27732736122869694,0.029606645226442227,0.05972226224435284,1.1468255421159044
transactions,C(hour_of_week)[T.116],0.5860623008816599,0.28086690946209203,0.03692256549899069,0.03557327388688736,1.1365513278764325
transactions,C(hour_of_week)[T.117],0.3789989066607384,0.29338733550153095,0.19642506153065498,-0.1960297044424319,0.9540275177639086
transactions,C(hour_of_week)[T.118],0.17524210316488673,0.2909217442712267,0.5469288537600588,-0.39495403792628936,0.7454382442560629
transactions,C(hour_of_week)[T.119],0.1737272959174814,0.3112829727600107,0.5767755109455333,-0.4363761196927023,0.783830711527665
transactions,C(hour_of_week)[T.120],0.18910923280444267,0.33838152843270647,0.5762545838542568,-0.4741063759572782,0.8523248415661636
transactions,C(hour_of_week)[T.121],0.3374299690858264,0.44286392483310727,0.44610359132246635,-0.5305673736391174,1.2054273118107703
transactions,C(hour_of_week)[T.122],-0.006396564002731067,0.28655919259526313,0.9821911284472976,-0.5680422609283237,0.5552491329228616
transactions,C(hour_of_week)[T.123],0.27532848355029155,0.2928719489755504,0.3471670318207083,-0.2986899885238396,0.8493469556244226
transactions,C(hour_of_week)[T.124],0.13093966240852675,0.31674457868427147,0.6793194637618358,-0.4898683041109586,0.7517476289280121
transactions,C(hour_of_week)[T.125],0.35096736752589053,0.37909019541052835,0.35454216031009567,-0.39203576237099635,1.0939704974227773
transactions,C(hour_of_week)[T.126],0.11317636963932186,0.29801948159374075,0.7041223532703899,-0.47093108097570757,0.6972838202543513
transactions,C(hour_of_week)[T.127],-0.02088852884328065,0.24207674804345067,0.9312367865812865,-0.49535023650302096,0.4535731788164597
transactions,C(hour_of_week)[T.128],0.009837362745161529,0.2640816518522907,0.9702847021892448,-0.5077531638631735,0.5274278893534966
transactions,C(hour_of_week)[T.129],0.21589961598447444,0.3147444186061351,0.4927432722326507,-0.4009881088185489,0.8327873407874977
transactions,C(hour_of_week)[T.130],0.4826196341076025,0.38691577300247526,0.2122689596894325,-0.27572134602772397,1.240960614242929
transactions,C(hour_of_week)[T.131],0.23115256281521857,0.2810955187542435,0.41089055455386625,-0.319784530158702,0.7820896557891391
transactions,C(hour_of_week)[T.132],0.08657797437308776,0.31347396583050635,0.7824031181129991,-0.5278197087456442,0.7009756574918198
transactions,C(hour_of_week)[T.133],0.3944229792660306,0.3317605621628777,0.23448750571050936,-0.25581577406397144,1.0446617325960326
transactions,C(hour_of_week)[T.134],0.5328309368474499,0.2515745817156187,0.03417642343810333,0.039753817259108426,1.0259080564357914
transactions,C(hour_of_week)[T.135],0.4396522811282707,0.2979859046183325,0.14010153915031953,-0.14438935982424883,1.0236939220807901
transactions,C(hour_of_week)[T.136],0.35305322989701127,0.2984821006983191,0.2368769975820575,-0.2319609375015519,0.9380673972955744
transactions,C(hour_of_week)[T.137],0.46973514099622676,0.300915029481786,0.11851843481411385,-0.1200474791948824,1.0595177611873359
transactions,C(hour_of_week)[T.138],0.1781088536003549,0.2913729947991386,0.5410179335302672,-0.39297172227353316,0.7491894294742429
transactions,C(hour_of_week)[T.139],0.04964050486551174,0.37040552542587957,0.893389414372526,-0.6763409846438475,0.775621994374871
transactions,C(hour_of_week)[T.140],-0.21728581549318127,0.31548687806399234,0.49099212030794315,-0.8356287340935858,0.4010571031072233
